dataset,date,latitude,longitude,deaths_min,deaths_max,children,names,description,source
dronestream,2009-02-14T00:00:00.000Z,32.5161310392,69.8651504517,26,35,0,,"26-35 alleged militants and 8-year old boy killed in strike on house and madrassa in Zangari, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-02-16T00:00:00.000Z,33.6803540332,70.2936172485,30,31,0,,"30-31 killed in a strike on a camp in Sarpal, Kurram Agency",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-03-01T00:00:00.000Z,32.4889135885,70.002822876,7,12,0,,"At least seven killed in an attack on alleged TTP facility in Sararogha, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-03-12T00:00:00.000Z,33.8019735181,70.2802276611,14,25,0,,"14-25 killed and 30-50 injured in attack on TTP camp in Barjo, Kurram Agency.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-03-15T00:00:00.000Z,32.8028590161,70.486907959,2,5,0,,"2-5 alleged militants killed in Sain Tanga, Janni Khel, Bannu.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-03-25T00:00:00.000Z,32.6278098905,69.8428344727,7,8,0,,"7-8 alleged militants killed in attack on cars and house in Maken, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-03-26T00:00:00.000Z,32.9666191441,70.3174781799,4,5,0,,"4-5 militants or civilians killed in strike on house in Sokhel, Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-04-01T00:00:00.000Z,33.669925567,70.9110832214,12,14,0,,"Women and children among 12-14 killed in strike on house in Khadezai, Orakzai Agency.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-04-04T00:00:00.000Z,33.151242,70.434707,13,13,0,,"At least 7 civilians, and possibly all, of 13 killed in strike on house. Datta Khel, Miramshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-04-08T00:00:00.000Z,32.1723754,69.33147601,4,4,0,,"Four alleged militants killed and up to five civilians injured in strike on car and shops, Gangi Khel, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-04-19T00:00:00.000Z,32.1723754,69.33147601,0,8,0,,"Up to eight civilians including as many as two children killed in Gangi Khel, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-04-29T00:00:00.000Z,32.5169995456,69.7832679749,6,10,0,,"Named al Qaeda leader and 5-9 others, possibly including civilians, killed in Kaniguram, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-05-09T00:00:00.000Z,32.477763638,70.0198173523,9,25,0,,"9-25 killed, possibly four civilians, in strike in Tabbi Langhar Khel, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-05-12T00:00:00.000Z,32.2978708328,69.3460464478,8,9,0,,"At least eight alleged militants killed in attack on compound in Sara Khwara, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-05-16T00:00:00.000Z,33.0034810269,70.2725028992,25,40,0,,"At least 25 people, including nine civilians, killed in a strike on house and rescuers in Kaisore, Miranshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-06-14T00:00:00.000Z,32.5156967828,69.8816299438,3,5,0,,3-5 alleged militants killed in strike on truck in Ladha South Waziristan.,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-06-18T00:00:00.000Z,32.3051256533,69.5762443542,12,14,0,,"12-14 killed, including 10 civilian rescuers, in double strike in Shah Alam, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-06-18T00:00:00.000Z,32.3273217962,69.5678329468,0,0,0,,"Strike with unknown casualty figures in Raghzai area, near Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-06-23T00:00:00.000Z,32.6278098905,69.8428344727,6,6,0,,"Named TTP commander among six killed in a strike on Makeen, South Waziristan",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-06-23T00:00:00.000Z,33.0020413985,70.0608444214,67,83,0,,"67-83 killed (including 18-45 civilians) in a strike on a funeral in Makeen, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-03T00:00:00.000Z,32.5922382041,69.6152114868,0,5,0,,"An attack on a closed madrassa â€˜occasionally used by the TTPâ€™ killed either three, five or no people. Mantoi, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-07-03T00:00:00.000Z,32.287422871,69.9921798706,13,17,0,,"13-17 alleged militants killed and 27-35 injured in strike on compound in Kokat Khel, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
